ht circ bloc
18.25 36 A1
19.75 42 A1
16.5 33 A1
18.25 39 A1
19.5 43 A1
16.25 34 A1
17.25 37 A1
19 41 A1
16.25 27 A1
17.5 30 A1
15.5 26 A1
19.75 35 A1
22 39 A1
18.25 31 A1
18.25 27 A1
20.5 35 A1
16 27 A1
18 35 A1
20.25 40 A1
19.75 41 A1
19 38 A1
19.75 38 A1
17.5 39 A1
21 42 A1
21.75 46 A1
23 56 A1
22.25 53 A1
23 54 A1
23 53 A1
19 38 A1
23.25 53 A1
24 59 A1
22 50 A1
19 38 A1
19.75 44 A1
22.25 43 A1
21.75 47 A1
23.25 54 A1
24.25 56 A1
23.25 56 A1
24.25 57 A1
24.5 58 A1
23 52 A1
22.5 52 A1
21.25 47 A1
19.75 44 A1
22.5 49 A1
18.75 37 A1
12.5 32 A1
18 35 A1
23.5 56 A1
24 58 A1
23.75 52 A1
23.75 54 A1
23.25 58 A1
21.25 43 A1
23.25 51 A1
20.5 40 A1
23.25 52 A1
22.25 46 A1
23.75 54 A1
24.75 56 A1
24.25 55 A1
21.25 46 A1
20.75 47 A1
19.75 43 A1
22.25 52 A1
20.25 40 A1
18.75 36 A1
21.25 47 A1
22 51 A1
19.75 39 A1
16.25 34 A1
21 48 A1
18.75 41 A1
21.75 48 A1
19.25 37 A1
19.75 43 A1
21.25 45 A1
22 50 A1
21.75 52 A1
20.25 45 A1
23.25 53 A1
18.25 35 A1
22.75 46 A1
20.75 41 A1
18.5 35 A1
21.75 43 A1
19.75 36 A1
23.75 56 A1
23.25 52 A1
22.5 49 A1
22.25 46 A1
22.25 47 A1
23.5 57 A1
24.25 61 A1
21.25 46 A1
22.5 54 A1
23 57 A1
21.75 49 A1
21.25 44 A1
22 44 A1
15.75 31 A1
21.5 42 A1
21.75 41 A1
21.25 41 A1
23 49 A1
20.75 38 A1
21 39 A1
22.25 43 A1
22.25 54 A1
22.75 53 A1
23.25 56 A1
21.25 46 A1
21.75 44 A1
22.75 55 A1
22.25 50 A1
19 36 A1
19.25 35 A1
23.75 56 A1
22.5 46 A1
23.25 52 A1
22.75 48 A1
23.25 51 A1
23.25 47 A1
22.75 50 A1
15.25 28 A1
23 49 A1
22.75 49 A1
22.75 46 A1
23.25 47 A1
23 47 A1
23.25 50 A1
23.75 48 A1
23 50 A1
24.75 58 A1
25.25 60 A1
23.75 55 A1
16.75 32 A1
22.75 52 A1
24.25 54 A1
15.25 29 A1
23.25 55 A1
23.25 59 A1
24.5 60 A1
23.25 49 A1
20.75 39 A1
25.25 65 A1
22.25 49 A1
23.75 62 A1
23.75 54 A1
24.25 63 A1
23.75 54 A1
23.75 54 A1
22.25 58 A1
24.75 60 A1
25.25 59 A1
24.25 62 A1
24.75 57 A1
24.75 59 A1
22.25 57 A1
22.25 47 A1
25 62 A1
22.5 59 A1
24 58 A1
25.25 65 A1
24.25 62 A1
24.75 58 A1
25.75 65 A1
23.75 58 A1
22.5 45 A1
23.5 54 A1
20.75 47 A1
23.75 54 A1
23.25 54 A1
22 47 A1
23.25 60 A1
25.75 64 A1
25 64 A1
26 66 A1
26 60 A1
23 43 A1
20.25 36 A1
23.75 49 A1
23 42 A1
24.25 55 A1
24.75 54 A1
24.75 52 A1
24.25 48 A1
22.5 54 A1
23.25 59 A1
21.75 55 A1
22.25 55 A1
21.25 48 A1
23.25 59 A1
21.75 53 A1
23.5 59 A1
22.5 56 A1
22.25 51 A1
22.75 49 A1
22.25 51 A1
22.25 46 A1
22.75 45 A1
21.25 41 A1
22.75 51 A1
22.25 46 A1
22.75 48 A1
18.75 38 A1
23.25 55 A1
23.5 56 A1
22.25 52 A1
22.75 49 A1
23.75 55 A1
21.75 49 A1
23 52 A1
23.25 53 A1
22.25 55 A1
21.75 52 A1
21.75 53 A1
22.25 52 A1
21.5 46 A1
22 55 A1
22.25 54 A1
22.25 50 A1
23 50 A1
24.75 62 A1
23 51 A1
23.5 51 A1
23.75 53 A1
25.25 57 A1
24 55 A1
24.25 54 A1
24.75 58 A1
23 58 A1
23.75 57 A1
22 53 A1
22 53 A1
22.25 48 A1
22.25 47 A1
23.25 56 A1
23.25 56 A1
19.25 37 A1
23.25 46 A1
23.25 49 A1
23.25 53 A1
23.75 49 A1
21.75 41 A1
20.75 35 A1
23.25 50 A1
23 46 A1
19.5 42 A1
23 59 A1
19 32 A1
22 59 A1
21.75 50 A1
22.25 56 A1
23.25 59 A1
22.75 50 A1
23.25 56 A1
21.5 48 A1
22.5 51 A1
23.25 60 A1
22.25 55 A1
21.25 43 A1
25.5 55 A1
24.25 55 A1
24.75 59 A1
23.75 51 A1
23.25 49 A1
23.25 57 A1
18.25 39 A1
23.25 55 A1
23.25 53 A1
17.75 35 A1
17.75 41 A1
20.25 50 A1
20.75 53 A1
18.5 46 A1
20 52 A1
20.25 46 A1
23.25 49 A1
20.75 42 A1
20.75 42 A1
20.5 42 A1
19.25 39 A1
14.75 31 A1
20.75 45 A1
19.75 42 A1
20 41 A1
19.75 41 A1
19.75 42 A1
19.75 43 A1
18.5 36 A1
19.5 42 A1
18.75 36 A1
19.75 39 A1
21.25 47 A1
21 46 A1
18.5 35 A1
20.75 43 A1
20 42 A1
19.25 39 A1
19.5 43 A1
14.5 29 A1
20 47 A1
21.5 46 A1
22.25 50 A1
16 32 A1
21.25 52 A1
22.25 58 A1
22.5 54 A1
21.5 51 A1
22.75 54 A1
21.25 53 A1
20.5 49 A1
22.25 55 A1
21.25 57 A1
11.25 26 A1
20.5 53 A1
19.25 47 A1
17.75 42 A1
19.5 45 A1
13.75 31 A1
16.75 39 A1
14 27 A1
16.5 33 A1
19.5 40 A1
14 26 A1
15 28 A1
16.75 34 A1
19.75 44 A1
20.75 45 A1
21 55 A1
20.5 45 A1
19.75 41 A1
15.25 33 A1
18.5 39 A1
20 44 A1
21.5 53 A1
22.75 58 A1
23 59 A1
22.25 55 A1
21.75 50 A1
22.25 53 A1
22 55 A1
22.5 54 A1
21.75 53 A1
19 37 A1
21.75 52 A1
20.75 47 A1
22 46 A1
20.25 41 A1
19.75 40 A1
22 48 A1
20.25 45 A1
19.25 40 A1
22.25 47 A1
21.25 45 A1
19.75 39 A1
22.5 55 A1
22.75 56 A1
21.75 51 A1
20.75 44 A1
23.75 52 A1
20.25 39 A1
22.75 60 A1
21.75 49 A1
19 46 A1
21 57 A1
19.75 49 A1
21.25 56 A1
22 56 A1
16.25 35 A1
17.5 35 A1
18.25 37 A1
18 35 A1
22 50 A1
20.75 44 A1
21.25 45 A1
21.25 45 A1
21.5 40 A1
20.75 38 A1
16.75 35 A1
19.25 43 A1
15.75 32 A1
17.25 35 A1
17.25 36 A1
18.25 36 A1
20.75 47 A1
16.75 34 A1
17.5 34 A1
15.25 28 A1
20.75 44 A1
19.75 43 A1
17.25 36 A1
21.25 44 A1
21.5 44 A1
20.75 42 A1
18.75 36 A1
19.25 36 A1
20.75 44 A1
20.75 48 A1
20.75 45 A1
23.5 55 A1
23.25 48 A1
18 35 A1
16.5 35 A1
24.75 55 A1
17.75 32 A1
23.75 47 A1
24.25 51 A1
17.25 31 A1
17 34 A1
19.5 40 A1
18 37 A1
15.75 29 A1
19.25 41 A1
19.75 43 A1
18.5 42 A1
19 43 A1
20.25 43 A1
22.75 54 A1
21.75 46 A1
20.75 48 A1
20.75 44 A1
21.5 48 A1
22 48 A1
21 41 A1
16.25 38 A1
22 52 A1
21 47 A1
21.5 51 A1
21 45 A1
18 41 A1
20.5 47 A1
21.25 53 A1
20.5 49 A1
17.25 33 A1
19.25 43 A1
18.75 38 A1
20 42 A1
21 43 A1
19 41 A1
19 37 A1
21 49 A1
20.25 45 A1
20 43 A1
21.75 58 A1
19.5 42 A1
20.5 49 A1
19.75 48 A1
20.75 49 A1
20.75 53 A1
19 45 A1
20 51 A1
19.75 53 A1
18.75 45 A1
19.25 41 A1
20.5 44 A1
19.25 44 A1
19.25 43 A1
19.75 50 A1
19.75 43 A1
19.25 40 A1
20.5 42 A1
18.25 35 A1
17 33 A1
21 46 A1
20 41 A1
17.75 38 A1
15.75 33 A1
18.75 37 A1
23.25 48 A1
23.25 49 A1
19.75 34 A1
23.75 54 A1
24.75 53 A1
23.5 52 A1
15.25 30 A1
20.25 44 A1
22.75 56 A1
23.25 59 A1
