ID;WAGE;OCCUPATION;EDUCATION;EXPERIENCE;AGE;SEX;MARR;RACE;SECTOR;SOUTH;UNION
1;5,1;6;8;21;35;1;1;2;1;0;0
2;4,95;6;9;42;57;1;1;3;1;0;0
3;6,67;6;12;1;19;0;0;3;1;0;0
4;4;6;12;4;22;0;0;3;0;0;0
5;7,5;6;12;17;35;0;1;3;0;0;0
6;13,07;6;13;9;28;0;0;3;0;0;1
7;4,45;6;10;27;43;0;0;3;0;1;0
8;19,47;6;12;9;27;0;0;3;0;0;0
9;13,28;6;16;11;33;0;1;3;1;0;0
10;8,75;6;12;9;27;0;0;3;0;0;0
11;11,35;6;12;17;35;0;1;3;0;0;1
12;11,5;6;12;19;37;0;0;3;1;0;1
13;6,5;6;8;27;41;0;1;3;0;1;0
14;6,25;6;9;30;45;0;0;3;0;1;1
15;19,98;6;9;29;44;0;1;3;0;1;0
16;7,3;6;12;37;55;0;1;3;2;0;0
17;8;6;7;44;57;0;1;3;0;1;0
18;22,2;6;12;26;44;0;1;3;1;0;1
19;3,65;6;11;16;33;0;0;3;0;0;0
20;20,55;6;12;33;51;0;1;3;0;0;0
21;5,71;6;12;16;34;1;1;3;1;0;1
22;7;6;7;42;55;0;1;1;1;0;1
23;3,75;6;12;9;27;0;0;3;0;0;0
24;4,5;6;11;14;31;0;1;1;0;1;0
25;9,56;6;12;23;41;0;1;3;0;0;0
26;5,75;6;6;45;57;0;1;3;1;1;0
27;9,36;6;12;8;26;0;1;3;1;0;0
28;6,5;6;10;30;46;0;1;3;0;0;0
29;3,35;6;12;8;26;1;1;3;1;0;0
30;4,75;6;12;8;26;0;1;3;0;0;0
31;8,9;6;14;13;33;0;0;3;0;0;0
32;4;6;12;46;64;1;0;3;0;1;0
33;4,7;6;8;19;33;0;1;3;0;0;0
34;5;6;17;1;24;1;0;3;0;1;0
35;9,25;6;12;19;37;0;0;3;1;0;0
36;10,67;6;12;36;54;0;0;1;0;0;0
37;7,61;6;12;20;38;0;1;1;2;1;0
38;10;6;12;35;53;0;1;1;2;0;1
39;7,5;6;12;3;21;0;0;3;0;0;0
